Ticker,Company_Name,Sector,First_Date,Last_Date,Total_Trading_Days,Starting_Price,Ending_Price,Total_Return_%,Highest_Price,Lowest_Price,Avg_Daily_Volume,Total_Dividends_Paid,Number_of_Splits,Avg_Daily_Return_%,Volatility_%,Current_Market_Cap,Current_PE_Ratio
EICHERMOT.NS,Eicher Motors Ltd.,Automobile,1999-01-01 00:00:00+05:30,2026-01-30 00:00:00+05:30,6767,0.7129110097885132,7122.5,998972.8018231767,7613.5,0.5843530654907226,526062.7900103444,271.6,1,0.29329965362950067,11.334566082851087,1953696317440,38.377605
BAJFINANCE.NS,Bajaj Finance Ltd.,Financials,2002-07-01 00:00:00+05:30,2026-01-30 00:00:00+05:30,5856,0.3925809860229492,929.8499755859375,236755.58106259914,1102.5,0.2664418383306004,9562993.061646175,18.844085999999997,2,2.002003638850115,141.81527868303604,5780268908544,31.541723
TITAN.NS,Titan Company Ltd.,Consumer Durables,1999-01-01 00:00:00+05:30,2026-01-30 00:00:00+05:30,6770,3.9339241981506348,3977.39990234375,101005.14849812188,4312.10009765625,1.2104382685375867,3647869.2574593797,72.7,1,0.1393431717410508,2.74116531922226,3528133705728,85.46197
SHREECEM.NS,Shree Cement Ltd.,Cement,2001-07-02 00:00:00+05:30,2026-01-30 00:00:00+05:30,6116,27.22235870361328,26985.0,99028.07443984722,32398.188355689515,18.588852608859508,28363.15336821452,1081.5,0,0.13831976146830846,2.2636431484278394,973638991872,56.497707
SUNPHARMA.NS,Sun Pharmaceutical Industries Ltd.,Pharma,1999-01-01 00:00:00+05:30,2026-01-30 00:00:00+05:30,6770,1.7184854745864868,1595.300048828125,92731.74472056545,1942.2128402851918,1.7036898541268077,3132031.357902511,89.0,5,0.1256716912366036,2.2275896464108618,3827659177984,36.63146
KOTAKBANK.NS,Kotak Mahindra Bank Ltd.,Financials,2001-07-02 00:00:00+05:30,2026-01-30 00:00:00+05:30,6118,0.4436476230621338,408.0,91864.87905962674,459.8498287702682,0.2400590618998838,13622507.233899968,2.7635,5,0.2907008450781548,8.903930129039859,4057761054720,21.59873
DIVISLAB.NS,Divi's Laboratories Ltd.,Pharma,2003-03-12 00:00:00+05:30,2026-01-30 00:00:00+05:30,5677,7.282268047332764,6051.0,82992.24489774538,7039.446635250951,6.404264098363565,947621.5643825964,248.6,3,0.14433694949033746,2.2758372074928173,1606350405632,64.61982
AXISBANK.NS,Axis Bank Ltd.,Financials,1999-01-01 00:00:00+05:30,2026-01-30 00:00:00+05:30,6767,2.1656811237335205,1370.4000244140625,63178.01491161196,1378.699951171875,1.6292280346014028,7639355.038569529,43.04,1,0.1315313543438032,2.701166605069829,4257978515456,16.260086
HDFCBANK.NS,HDFC Bank Ltd.,Financials,1999-01-01 00:00:00+05:30,2026-01-30 00:00:00+05:30,6770,2.1917715072631836,929.25,42297.211430142816,1020.5,1.951550199980457,13280929.274002954,67.1825,3,0.10913281306610277,1.9928238582246645,14299313471488,20.746819
M&M.NS,Mahindra & Mahindra Ltd.,Automobile,1999-01-01 00:00:00+05:30,2026-01-30 00:00:00+05:30,6768,13.144210815429688,3431.800048828125,26008.832983716406,3839.89990234375,4.3877310782077865,3699278.3541666665,166.925,3,0.15642601627945363,4.134521378503803,4119782752256,27.173965
INFY.NS,Infosys Ltd.,IT,1999-01-01 00:00:00+05:30,2026-01-30 00:00:00+05:30,6770,7.067403316497803,1641.0,23119.277668352806,1948.7771714843159,7.017380304411595,14741443.625258494,345.585942,8,0.10738130534190911,2.3135950217922576,6638977679360,23.14854
RELIANCE.NS,Reliance Industries Ltd.,Energy,1999-01-01 00:00:00+05:30,2026-01-30 00:00:00+05:30,6767,6.152116775512695,1395.4000244140625,22581.624477093494,1611.800048828125,5.842497372130206,36796406.898477904,60.235613,3,0.14079798513925781,4.7078283733546025,18883211689984,22.674683
JSWSTEEL.NS,JSW Steel Ltd.,Metals,2003-05-08 00:00:00+05:30,2026-01-30 00:00:00+05:30,5636,7.901537895202637,1214.4000244140625,15269.160289054324,1245.0,7.727877363379469,7675289.472498226,59.825,2,0.1308682190835437,2.8946982655385773,2966611558400,39.84252
ASIANPAINT.NS,Asian Paints Ltd.,Consumer Durables,2002-07-01 00:00:00+05:30,2026-01-30 00:00:00+05:30,5856,16.149301528930664,2428.300048828125,14936.563931126972,3483.9827276550905,14.810482311937136,902629.9415983607,209.05,2,0.09913263985274393,1.642022856282084,2327754571776,60.601448
BRITANNIA.NS,Britannia Industries Ltd.,FMCG,1999-01-01 00:00:00+05:30,2026-01-30 00:00:00+05:30,6770,40.8459358215332,5860.5,14247.816697372507,6386.20856861246,32.5448174136894,234331.6128508124,560.666667,3,0.08951102279414455,1.8124095705621794,1411608608768,60.977005
BHARTIARTL.NS,Bharti Airtel Ltd.,Telecom,2002-07-01 00:00:00+05:30,2026-01-30 00:00:00+05:30,5856,14.415043830871582,1968.699951171875,13557.259556545108,2174.5,8.553754963916763,6914466.100239071,51.754354,1,0.10910669320943936,2.2508049920522843,11992280596480,30.674664
LT.NS,Larsen & Toubro Ltd.,Infrastructure,2002-07-01 00:00:00+05:30,2026-01-30 00:00:00+05:30,5859,30.091901779174805,3932.300048828125,12967.635530930404,4195.0,12.403231311798974,3385985.869260966,309.108887,5,0.11604908774593606,2.6044612194437704,5409317322752,30.76917
HCLTECH.NS,HCL Technologies Ltd.,IT,2002-08-12 00:00:00+05:30,2026-01-30 00:00:00+05:30,5830,13.045225143432617,1695.5999755859375,12897.859039938123,1924.5466084379739,8.12976919234875,4756622.070840481,333.0625,3,0.11092514438169321,2.3415472284015326,4587704025088,27.980198
APOLLOHOSP.NS,Apollo Hospitals Enterprise Ltd.,Healthcare,2002-07-01 00:00:00+05:30,2026-01-30 00:00:00+05:30,5856,53.65165710449219,6960.5,12873.50422270034,8099.5,37.65316848529051,362639.8488729508,139.5,1,0.1064722144345587,2.17148678734158,1000813101056,59.849525
TCS.NS,Tata Consultancy Services Ltd.,IT,2002-08-12 00:00:00+05:30,2026-01-30 00:00:00+05:30,5827,25.828407287597656,3123.89990234375,11994.822059909948,4348.038051973605,21.127900701227986,3147429.171614896,756.25,3,0.12411685655686869,3.5549055091436217,11302543032320,23.696426
BPCL.NS,Bharat Petroleum Corporation Ltd.,Energy,1999-01-01 00:00:00+05:30,2026-01-30 00:00:00+05:30,6767,3.073873996734619,364.5,11758.000698376345,388.1499938964844,1.7003985355883293,9418437.76887838,152.708331,5,0.1651051339593484,6.678100302397599,1581385383936,6.3292236
BAJAJ-AUTO.NS,Bajaj Auto Ltd.,Automobile,2002-07-01 00:00:00+05:30,2026-01-30 00:00:00+05:30,5859,80.95570373535156,9597.5,11755.24868188995,12458.258373030149,56.49674389444935,421290.82590885815,1331.0,1,0.10155900759440703,1.9675283908597492,2680126177280,30.21122
SBIN.NS,State Bank of India,Financials,1999-01-01 00:00:00+05:30,2026-01-30 00:00:00+05:30,6768,10.036511421203613,1077.1500244140625,10632.315036661284,1082.5,9.039135123038571,23823491.954048462,89.94816600000001,1,0.09556365101731741,2.3058833451428704,9942760161280,11.976317
MARUTI.NS,Maruti Suzuki India Ltd.,Automobile,2003-07-09 00:00:00+05:30,2026-01-30 00:00:00+05:30,5592,140.9958038330078,14599.0,10254.208850988729,17370.0,133.01490680576342,1060249.2923819742,871.0,0,0.10370223915452889,2.0360167238959685,4589963182080,30.769068
ICICIBANK.NS,ICICI Bank Ltd.,Financials,2002-07-01 00:00:00+05:30,2026-01-30 00:00:00+05:30,5856,17.98613739013672,1355.0,7433.579726479006,1488.5144734435703,14.237943594159963,18579673.537568305,81.227274,2,0.10158512514951373,2.35918758384593,9692259549184,18.483154
GRASIM.NS,Grasim Industries Ltd.,Cement,2002-07-01 00:00:00+05:30,2026-01-30 00:00:00+05:30,5856,37.953426361083984,2819.0,7327.524390500081,2977.800048828125,33.03083878109791,1059206.1536885246,133.84731699999998,1,0.1718891193082144,7.506038141345475,1912427249664,44.24737
CIPLA.NS,Cipla Ltd.,Pharma,1999-01-01 00:00:00+05:30,2026-01-30 00:00:00+05:30,6769,19.426748275756836,1324.0,6715.345425833594,1684.0603137461426,3.984762191772461,1814143.0790367853,87.25999999999999,3,0.7720487126105778,29.3544044196642,1069501579264,23.529411
INDUSINDBK.NS,IndusInd Bank Ltd.,Financials,2002-07-01 00:00:00+05:30,2026-01-30 00:00:00+05:30,5857,13.32038688659668,896.0999755859375,6627.28189665134,1957.756164933868,9.917573563134605,2927683.964145467,102.75,0,0.11368898365801362,2.897978940760485,698129973248,
TATASTEEL.NS,Tata Steel Ltd.,Metals,1999-01-01 00:00:00+05:30,2026-01-30 00:00:00+05:30,6770,3.164703845977783,193.1300048828125,6002.624898954551,202.99000549316406,1.8776057487770246,67107570.29704579,37.449658,2,1.0347515586987406,29.92003419608614,2408688123904,35.4367
DRREDDY.NS,Dr. Reddy's Laboratories Ltd.,Pharma,1999-01-01 00:00:00+05:30,2026-01-30 00:00:00+05:30,6767,21.185806274414062,1218.0999755859375,5649.604050033383,1412.5315374247275,21.000833621350246,2515695.9770947243,78.6,3,0.13618176835070753,5.557949885443484,1014151315456,17.929054
TATACONSUM.NS,Tata Consumer Products Ltd.,FMCG,1999-01-01 00:00:00+05:30,2026-01-30 00:00:00+05:30,6767,20.913862228393555,1133.9000244140625,5321.762905536555,1251.0389347936634,7.719129921489891,2477007.223880597,75.375651,1,0.08316353788312134,2.20131815841764,1122052210688,76.408356
ULTRACEMCO.NS,UltraTech Cement Ltd.,Cement,2002-08-12 00:00:00+05:30,2026-01-30 00:00:00+05:30,5826,280.7363586425781,12694.0,4421.680077841814,13097.0,226.33288810151583,268675.3633710951,379.0,0,0.0962347293454986,2.2145987921230095,3733783838720,48.691982
WIPRO.NS,Wipro Ltd.,IT,1999-01-01 00:00:00+05:30,2026-01-30 00:00:00+05:30,6770,5.263250827789307,236.89999389648438,4401.020408255712,341.77344006633444,3.543131530756535,14723213.151698671,35.483124000000004,7,0.13615651453746852,5.590149812883917,2481693917184,18.756927
ONGC.NS,Oil & Natural Gas Corporation Ltd.,Energy,1999-01-01 00:00:00+05:30,2026-01-30 00:00:00+05:30,6767,6.354040145874023,268.9599914550781,4132.897263479307,318.1151424882011,2.9997345586954496,9771409.219151765,159.611109,3,0.09671372963110028,2.922415391468207,3383591698432,9.242611
ITC.NS,ITC Ltd.,FMCG,1999-01-01 00:00:00+05:30,2026-01-30 00:00:00+05:30,6767,8.42238712310791,322.1499938964844,3724.9250383258227,491.92897929887965,5.438983679425964,19003780.3234816,124.877777,3,0.07177225854864619,1.8930782693689288,4036291198976,19.800245
HEROMOTOCO.NS,Hero MotoCorp Ltd.,Automobile,2002-07-01 00:00:00+05:30,2026-01-30 00:00:00+05:30,5856,144.7899627685547,5534.0,3722.0881435310844,6388.5,83.46221858819106,567534.643613388,1613.0,0,0.08140319010315494,1.9637935787426886,1107251691520,20.964504
HINDALCO.NS,Hindalco Industries Ltd.,Metals,1999-01-01 00:00:00+05:30,2026-01-30 00:00:00+05:30,6770,33.41090393066406,962.5999755859375,2781.0952783066627,1029.800048828125,24.601693067459603,6640913.316395864,46.021620999999996,1,0.08375725973328851,2.6164682305015963,2152253489152,12.047559
HINDUNILVR.NS,Hindustan Unilever Ltd.,FMCG,1999-01-01 00:00:00+05:30,2026-01-30 00:00:00+05:30,6770,90.6869125366211,2373.0,2516.6951036531736,2945.7145483400527,62.713855399951484,1980272.1519940917,452.05,1,0.06427490985292886,1.796574563105078,5575580057600,51.28593
TECHM.NS,Tech Mahindra Ltd.,IT,2006-08-28 00:00:00+05:30,2026-01-30 00:00:00+05:30,4793,94.02018737792969,1743.0999755859375,1753.963520173874,1776.5999755859375,35.53109925977012,2543322.3968287087,336.875,1,0.08766347807975426,2.319354442619573,1543527858176,33.443977
NTPC.NS,NTPC Ltd.,Power,2004-11-05 00:00:00+05:30,2026-01-30 00:00:00+05:30,5245,33.00070571899414,356.0,978.7648089449732,434.1373428397763,30.576431457715962,9552672.955386082,94.17500100000001,1,0.062167037668215124,1.8327741175651766,3452013379584,19.690266
LTIM.NS,LTIMindtree Ltd.,IT,2016-07-21 00:00:00+05:30,2026-01-30 00:00:00+05:30,2355,607.8668823242188,5974.5,882.8632178736418,7227.646284500224,522.8213438993429,299183.34649681527,401.05,0,0.11762776106608266,2.030360192324522,1771072782336,37.324295
POWERGRID.NS,Power Grid Corporation of India Ltd.,Power,2007-10-05 00:00:00+05:30,2026-01-30 00:00:00+05:30,4518,31.243070602416992,256.5,720.9820451519798,349.47789132554095,16.354322940528082,11930462.457945993,79.68563,2,0.0630545478774308,1.8119063491228007,2385604771840,16.47399
ADANIPORTS.NS,Adani Ports and Special Economic Zone Ltd.,Infrastructure,2007-11-27 00:00:00+05:30,2026-01-30 00:00:00+05:30,4482,173.6806640625,1419.800048828125,717.4773262711627,1606.6564095419903,46.05673073506662,4120540.567157519,42.5,1,0.08114258944639333,2.615288155943327,3271161282560,25.642046
BAJAJFINSV.NS,Bajaj Finserv Ltd.,Financials,2002-08-12 00:00:00+05:30,2026-01-30 00:00:00+05:30,5825,443.8223571777344,1952.5999755859375,339.9507920246554,3303.902227088156,8.491856171306395,1747919.6490987125,5.8399149999999995,1,0.08725673005033424,2.72842829347063,3119272951808,32.646713
COALINDIA.NS,Coal India Ltd.,Metals,2010-11-04 00:00:00+05:30,2026-01-30 00:00:00+05:30,3759,115.38106536865234,440.75,281.99508610166333,489.06002986182597,66.6630012176525,7216646.720670391,290.35,0,0.05242979590598529,1.8338747394666468,2716222619648,8.703594
NESTLEIND.NS,Nestle India Ltd.,FMCG,2002-08-12 00:00:00+05:30,2026-01-30 00:00:00+05:30,5829,418.9486999511719,1332.4000244140625,218.0341709066892,1374.3829021711595,96.03976343803214,818787.196946303,107.65,2,0.038635906798468504,1.5608896423437135,2569286189056,81.44254
SBILIFE.NS,SBI Life Insurance Company Ltd.,Financials,2017-10-03 00:00:00+05:30,2026-01-30 00:00:00+05:30,2059,695.6264038085938,1998.5,187.29501770750795,2109.60009765625,478.2253970417001,1277479.629431763,16.4,0,0.06559531293627274,1.6878407907093673,2004155367424,80.64971
HDFCLIFE.NS,HDFC Life Insurance Company Ltd.,Financials,2017-11-17 00:00:00+05:30,2026-01-30 00:00:00+05:30,2027,336.6984558105469,731.0,117.1082128191637,820.75,299.96060389734083,3562630.0187469167,12.709999999999999,0,0.05514673556666473,1.836477368118894,1576822505472,83.73425
ADANIENT.NS,Adani Enterprises Ltd.,Infrastructure,2002-07-01 00:00:00+05:30,2026-01-30 00:00:00+05:30,5858,-0.012172998860478401,2020.4000244140625,-16597489.415467836,4184.260452459323,-0.012433160419429382,6447518.1124957325,21.377147,1,0.23689834445166824,12.782708934933773,2611735429120,31.154974
